Rank	Journal	Journal.ISSN.(print.version)	Journal.EISSN.(online.version)	Pmid	Doi	fulltext	Journal.title	Journal.URL	Alternative.title	Publisher	Society.or.institution	"Platform,.host.or.aggregator"	Country.of.publisher	Journal.article.processing.charges.(APCs)	APC.information.URL	APC.amount	Currency	Journal.article.submission.fee	Submission.fee.URL	Submission.fee.amount	Submission.fee.currency	Journal.waiver.policy.(for.developing.country.authors.etc)	Waiver.policy.information.URL	Digital.archiving.policy.or.program(s)	Archiving:.national.library	Archiving:.other	Archiving.infomation.URL	Journal.full-text.crawl.permission	Permanent.article.identifiers	Journal.provides.download.statistics	Download.statistics.information.URL	First.calendar.year.journal.provided.online.Open.Access.content	Full.text.formats	Keywords	Full.text.language	URL.for.the.Editorial.Board.page	Review.process	Review.process.information.URL	URL.for.journal's.aims.&.scope	URL.for.journal's.instructions.for.authors	Journal.plagiarism.screening.policy	Plagiarism.information.URL	Average.number.of.weeks.between.submission.and.publication	URL.for.journal's.Open.Access.statement	Machine-readable.CC.licensing.information.embedded.or.displayed.in.articles	URL.to.an.example.page.with.embedded.licensing.information	Journal.license	License.attributes	URL.for.license.terms	Does.this.journal.allow.unrestricted.reuse.in.compliance.with.BOAI?	Deposit.policy.directory	Author.holds.copyright.without.restrictions	Copyright.information.URL	Author.holds.publishing.rights.without.restrictions	Publishing.rights.information.URL	DOAJ.Seal	Tick:.Accepted.after.March.2014	Added.on.Date	Subjects	Number.of.Article.Records	Most.Recent.Article.Added	
195	Contemp Oncol (Pozn)	1428-2526	1897-4309	31992959	10.5114/wo.2019.91540	done	Contemporary Oncology	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3	Współczesna onkologia	Termedia Publishing House	NA	Termedia Publishing House - Bentus	Poland	Yes	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	200	EUR - Euro	NA	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	NA	NA	NA	NA	PMC/Europe PMC/PMC Canada	NA	NA	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Indexing	Yes	DOI	NA	NA	1999	"PDF, HTML, XML"	oncology	English	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Info	Double blind peer review	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	Yes	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authorshttp://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/For-authors	24	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Info	NA	NA	CC BY-NC-SA	NA	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Info	Yes	NA	TRUE	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Info	TRUE	http://www.termedia.pl/Journal/Wspolczesna_Onkologia-3/Info	No	Yes	2016-11-29T12:34:29Z	Medicine	181	2019-06-13T11:28:28Z	
196	Contrast Media Mol Imaging	1555-4309	1555-4317	32158365	10.1155/2020/4837156	done	Contrast Media & Molecular Imaging	https://www.hindawi.com/journals/cmmi/	NA	Hindawi-Wiley	NA	Hindawi	United Kingdom	Yes	https://www.hindawi.com/journals/cmmi/apc/	1600	USD - US Dollar	NA	https://www.hindawi.com/journals/cmmi/apc/	NA	NA	Yes	https://www.hindawi.com/journals/cmmi/apc/	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	https://www.hindawi.com/journals/cmmi/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/cmmi/2017/4035721/	2017	"PDF, HTML, ePUB, XML"	"molecular imaging, cellular imaging, contrast media, magnetic resonance imaging"	English	http://www.hindawi.com/journals/cmmi/editors/	Blind peer review	http://www.hindawi.com/journals/cmmi/workflow/	http://www.hindawi.com/journals/cmmi/aims/	http://www.hindawi.com/journals/cmmi/guidelines/	Yes	http://www.hindawi.com/journals/cmmi/ethics/	23	http://www.hindawi.com/journals/cmmi/	Yes	https://www.hindawi.com/journals/cmmi/2017/4729547/	CC BY	NA	http://www.hindawi.com/journals/cmmi/guidelines/	Yes	Sherpa/Romeo	TRUE	http://www.hindawi.com/journals/cmmi/guidelines/	TRUE	http://www.hindawi.com/journals/cmmi/guidelines/	Yes	Yes	2017-05-21T16:55:00Z	Medicine: Medicine (General): Medical technology	283	2020-03-23T15:27:43Z	
197	Cost Eff Resour Alloc	NA	1478-7547	32206041	10.1186/s12962-020-00209-9	done	Cost Effectiveness and Resource Allocation	http://www.resource-allocation.com/	NA	BMC	NA	BMC	United Kingdom	Yes	http://resource-allocation.biomedcentral.com/about	1370	GBP - Pound Sterling	NA	http://resource-allocation.biomedcentral.com/about	NA	NA	Yes	http://resource-allocation.biomedcentral.com/about	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/article-metrics	2003	"PDF, HTML, ePUB"	"health economics, health policy, health sector efficiency"	English	http://resource-allocation.biomedcentral.com/about/editorial-board	Blind peer review	http://resource-allocation.biomedcentral.com/about	http://resource-allocation.biomedcentral.com/about	http://resource-allocation.biomedcentral.com/submission-guidelines	Yes	http://www.biomedcentral.com/getpublished/editorial-policies	34	http://resource-allocation.biomedcentral.com/about	Yes	http://resource-allocation.biomedcentral.com/articles/10.1186/s12962-016-0058-z	CC BY	NA	http://www.biomedcentral.com/getpublished/copyright-and-license	Yes	Sherpa/Romeo	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2003-06-26T00:00:00Z	Medicine: Medicine (General)	283	2020-03-20T18:05:58Z	
198	Crit Care	1364-8535	1466-609X	32204729	10.1186/s13054-020-2777-y	done	Critical Care	https://ccforum.biomedcentral.com/	NA	BMC	NA	BMC	United Kingdom	Yes	https://ccforum.biomedcentral.com/about	1750	GBP - Pound Sterling	NA	https://ccforum.biomedcentral.com/about	NA	NA	Yes	https://ccforum.biomedcentral.com/about	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	Koninklijke Bibliotheek	NA	https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data	Yes	DOI	Yes	https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data#article+metrics	1998	"PDF, HTML"	"emergency medicine, critical care, intensive care"	English	https://ccforum.biomedcentral.com/about/editorial-board	Blind peer review	https://ccforum.biomedcentral.com/about/	https://ccforum.biomedcentral.com/about	https://ccforum.biomedcentral.com/submission-guidelines	Yes	https://www.biomedcentral.com/getpublished/editorial-policies	14	https://ccforum.biomedcentral.com/about	Yes	https://ccforum.biomedcentral.com/articles/10.1186/s13054-018-2171-1	CC BY	NA	https://ccforum.biomedcentral.com/submission-guidelines/copyright	Yes	Sherpa/Romeo	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2015-12-01T15:15:30Z	Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid	1138	2020-03-20T18:06:49Z	
199	Croat Chem Acta	0011-1643	1334-417X	28239189	10.5562/cca2825	todo	Croatica Chemica Acta	http://cca.hkd.hr/	NA	Croatian Chemical Society	NA	Hrčak	Croatia	No	http://cca.hkd.hr/?page_id=201	NA	NA	NA	http://cca.hkd.hr/?page_id=201	NA	NA	NA	NA	NA	NA	"Common HRČAK platform for Croatian Open Access journals, managed by the University Computing Centre SRCE."	http://cca.hkd.hr/	Yes	DOI	Yes	http://hrcak.srce.hr/index.php?show=posjecenost-casopisa&lang=en	1990	PDF	"chemistry, biology"	English	http://cca.hkd.hr/?page_id=30	Blind peer review	http://cca.hkd.hr/?page_id=201	http://cca.hkd.hr/	http://cca.hkd.hr/?page_id=201	Yes	http://cca.hkd.hr/?page_id=201	20	http://cca.hkd.hr/?page_id=527	Yes	http://hrcak.srce.hr/index.php?show=clanak&id_clanak_jezik=222315&lang=en	CC BY	NA	http://cca.hkd.hr/?page_id=527	Yes	Sherpa/Romeo	TRUE	http://cca.hkd.hr/?page_id=527	TRUE	http://cca.hkd.hr/?page_id=527	No	Yes	2003-12-17T00:00:00Z	Science: Chemistry	120	2017-02-14T08:31:30Z	
200	Cryosphere	1994-0416	1994-0424	31217911	10.5194/tc-12-3813-2018	done	The Cryosphere	http://www.the-cryosphere.net/	TC	Copernicus Publications	European Geosciences Union (EGU)	Copernicus Publications	Germany	Yes	http://www.the-cryosphere.net/for_authors/article_processing_charges.html	1460	EUR - Euro	NA	http://www.the-cryosphere.net/for_authors/article_processing_charges.html	NA	NA	Yes	http://www.the-cryosphere.net/for_authors/financial_support.html	"CLOCKSS, Portico"	NA	NA	http://www.the-cryosphere.net/home.html	Yes	DOI	Yes	http://www.the-cryosphere.net/about/article_level_metrics.html	2007	"PDF, XML"	"ice sheets and glaciers, planetary ice bodies, permafrost, river and lake ice, seasonal snowcover, sea ice"	English	http://www.the-cryosphere.net/editorial_board.html	Peer review	http://www.the-cryosphere.net/peer_review/interactive_review_process.html	http://www.the-cryosphere.net/about/aims_and_scope.html	http://www.the-cryosphere.net/for_authors/manuscript_preparation.html	Yes	http://www.the-cryosphere.net/for_authors/plagiarism_detection.html	37	http://www.the-cryosphere.net/home.html	Yes	http://www.the-cryosphere.net/9/385/2015/tc-9-385-2015.xml	CC BY	NA	http://www.the-cryosphere.net/about/licence_and_copyright.html	Yes	Sherpa/Romeo	TRUE	http://www.the-cryosphere.net/about/licence_and_copyright.html	TRUE	http://www.the-cryosphere.net/about/licence_and_copyright.html	Yes	Yes	2007-11-16T09:43:08Z	Geography. Anthropology. Recreation: Environmental sciences | Science: Geology	1591	2020-03-25T08:28:11Z	
201	Curationis	0379-8577	2223-6279	32129643	10.4102/curationis.v43i1.2033	done	Curationis	http://www.curationis.org.za	NA	AOSIS	Democratic Nursing Organisation of South Africa	OJS	South Africa	Yes	http://www.curationis.org.za/index.php/curationis/pages/view/authors#3	1220	ZAR - Rand	NA	http://www.curationis.org.za/index.php/curationis/pages/view/authors#3	NA	NA	Yes	http://www.curationis.org.za/index.php/curationis/pages/view/authors#6	Portico	South African Government Libraries	NA	http://curationis.org.za/index.php/curationis/pages/view/about#7	Yes	DOI	Yes	http://curationis.org.za/index.php/curationis/issue/view/118	1978	"PDF, HTML, ePUB, XML"	"nursing research, practical nursing, africa, midwifery"	English	http://curationis.org.za/index.php/curationis/pages/view/editorial-team	Double blind peer review	http://curationis.org.za/index.php/curationis/pages/view/about#5	http://curationis.org.za/index.php/curationis/pages/view/about#2	http://curationis.org.za/index.php/curationis/pages/view/authors	Yes	http://curationis.org.za/index.php/curationis/pages/view/newsubmission#4	19	http://curationis.org.za/index.php/curationis/pages/view/about#4	Yes	http://curationis.org.za/index.php/curationis/article/view/1495/1674	CC BY	NA	http://curationis.org.za/index.php/curationis/pages/view/authors#4	Yes	Sherpa/Romeo	TRUE	http://curationis.org.za/index.php/curationis/pages/view/authors#4	TRUE	http://curationis.org.za/index.php/curationis/pages/view/authors#4	Yes	Yes	2012-08-24T12:16:50Z	Medicine: Nursing	1428	2020-03-04T13:25:14Z	
202	Curr Gerontol Geriatr Res	1687-7063	1687-7071	32148481	10.1155/2020/9347804	done	Current Gerontology and Geriatrics Research	https://www.hindawi.com/journals/cggr/	NA	Hindawi Limited	NA	Hindawi	United Kingdom	Yes	https://www.hindawi.com/journals/cggr/apc/	775	USD - US Dollar	NA	https://www.hindawi.com/journals/cggr/apc/	NA	NA	Yes	https://www.hindawi.com/journals/cggr/apc/	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	https://www.hindawi.com/journals/cggr/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/cggr/2017/9417350/	2008	"PDF, HTML, ePUB, XML"	"gerontological research, biological gerontology, geriatrics, aging"	English	https://www.hindawi.com/journals/cggr/editors/	Blind peer review	https://www.hindawi.com/journals/cggr/workflow/	https://www.hindawi.com/journals/cggr/aims/	https://www.hindawi.com/journals/cggr/guidelines/	Yes	https://www.hindawi.com/journals/cggr/ethics/	13	https://www.hindawi.com/journals/cggr/	Yes	https://www.hindawi.com/journals/cggr/2015/893062/	CC BY	NA	https://www.hindawi.com/journals/cggr/guidelines/	Yes	Sherpa/Romeo	TRUE	https://www.hindawi.com/journals/cggr/guidelines/	TRUE	https://www.hindawi.com/journals/cggr/guidelines/	Yes	Yes	2009-01-16T13:26:05Z	Medicine: Internal medicine: Special situations and conditions: Geriatrics	203	2020-03-01T07:32:58Z	
203	Cytojournal	0974-5963	1742-6413	31897084	10.4103/cytojournal.cytojournal_9_19	todo	CytoJournal	http://www.cytojournal.com/	NA	Wolters Kluwer Medknow Publications	Cytopathology Foundation Inc.	Wolters Kluwer Medknow Publications	India	Yes	http://www.cytojournal.com/contributors.asp	1500	USD - US Dollar	NA	http://www.cytojournal.com/contributors.asp	NA	NA	Yes	http://www.cytojournal.com/contributors.asp	"Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.cytojournal.com/aboutus.asp	Yes	DOI	Yes	http://medknow.com/statistics.asp	2004	"PDF, HTML, ePUB"	"diagnostic cytopathology, molecular pathology, applied cell research"	English	http://www.cytojournal.com/editorialboard.asp	Double blind peer review	http://www.cytojournal.com/prp.asp	http://www.cytojournal.com/aboutus.asp	http://www.cytojournal.com/contributors.asp	NA	NA	23	http://www.cytojournal.com/aboutus.asp	NA	NA	CC BY-NC-SA	NA	http://www.cytojournal.com/aboutus.asp	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2004-08-24T08:53:57Z	Science: Biology (General): Cytology	389	2020-01-23T07:26:06Z	
204	Data Sci J	NA	1683-1470	31579260	10.5334/dsj-2019-030	done	Data Science Journal	http://datascience.codata.org/	NA	Ubiquity Press	NA	Ubiquity Press	United Kingdom	Yes	http://datascience.codata.org/about/submissions/	350	GBP - Pound Sterling	NA	http://datascience.codata.org/about/submissions/	NA	NA	Yes	http://datascience.codata.org/about/submissions/	"LOCKSS, CLOCKSS"	NA	NA	http://datascience.codata.org/about/	Yes	DOI	Yes	http://datascience.codata.org/articles/10.5334/dsj-2015-002/	2002	"PDF, HTML, XML"	"data systems, management of data"	English	http://datascience.codata.org/about/editorialteam/	Blind peer review	http://datascience.codata.org/about/editorialpolicies/	http://datascience.codata.org/about/	http://datascience.codata.org/about/submissions/	Yes	http://datascience.codata.org/about/research-integrity/	10	http://datascience.codata.org/about/	Yes	http://datascience.codata.org/articles/10.5334/dsj-2015-002/	CC BY	NA	http://datascience.codata.org/about/submissions/	Yes	Sherpa/Romeo	TRUE	http://datascience.codata.org/about/submissions/	TRUE	http://datascience.codata.org/about/submissions/	Yes	Yes	2009-03-31T16:40:05Z	Science: Science (General)	721	2020-03-13T05:18:22Z	
205	Dement Geriatr Cogn Dis Extra	NA	1664-5464	32158463	10.1159/000505396	done	Dementia and Geriatric Cognitive Disorders Extra	http://www.karger.com/dee	NA	Karger Publishers	NA	Karger	Switzerland	Yes	http://www.karger.com/dee_guidelines	1800	CHF - Swiss Franc	NA	http://www.karger.com/Journal/AboutOA/254733	NA	NA	NA	NA	Portico	NA	NA	http://www.karger.com/Resources/Librarians	Yes	DOI	NA	NA	2011	"PDF, HTML"	"neurology, gerontology, geriatrics, cognitive disorders, dementia, neurodegenerative diseases"	English	http://www.karger.com/Journal/EditorialBoard/254733	Blind peer review	http://www.karger.com/dee_guidelines	http://www.karger.com/Journal/Details/254733	http://www.karger.com/dem_guidelines	Yes	http://www.karger.com/dem_guidelines	9	http://www.karger.com/Journal/AboutOA/254733	Yes	http://www.karger.com/Article/FullText/441894	CC BY-NC-ND	NA	http://www.karger.com/Journal/AboutOA/254733	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2013-04-22T15:48:38Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system | Medicine: Internal medicine: Special situations and conditions: Geriatrics	444	2020-01-24T09:55:37Z	
206	Dement Neuropsychol	1980-5764	NA	32206206	10.1590/1980-57642020dn14-010016	done	Dementia & Neuropsychologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-5764&lng=en&nrm=iso	NA	Associação Neurologia Cognitiva e do Comportamento	Associação Neurologia Cognitiva e do Comportamento	ScholarOne-SciELO	Brazil	No	http://www.scielo.br/revistas/dn/iinstruc.htm	NA	NA	NA	http://www.scielo.br/revistas/dn/iinstruc.htm	NA	NA	NA	NA	NA	NA	NA	http://www.sibi.usp.br	Yes	DOI	NA	NA	2007	"PDF, HTML, XML"	"neurology, neuropsychology, neurophology, neuropsychiatry"	English	http://www.scielo.br/revistas/dn/iedboard.htm	Double blind peer review	http://www.scielo.br/revistas/dn/iinstruc.htm	http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-5764&lng=en&nrm=iso	http://www.scielo.br/revistas/dn/iinstruc.htm	NA	NA	8	http://www.scielo.br/revistas/dn/isubscrp.htm	Yes	http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642016000300185&lng=en&nrm=iso&tlng=en	CC BY	NA	http://www.scielo.br/revistas/dn/iaboutj.htm	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2016-10-13T13:37:52Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry	725	2019-05-12T06:40:07Z	
207	Dermatol Reports	2036-7392	2036-7406	32201553	10.4081/dr.2019.8265	done	Dermatology Reports	http://www.pagepress.org/dr	"Dermatol Rep, DR"	PAGEPress Publications	NA	OJS	Italy	Yes	https://www.pagepress.org/journals/index.php/dr/payments	600	EUR - Euro	NA	https://www.pagepress.org/journals/index.php/dr/payments	NA	NA	Yes	https://www.pagepress.org/journals/index.php/dr/payments	"LOCKSS, PKP PN, Portico"	NA	NA	https://www.pagepress.org/journals/index.php/dr/about	Yes	DOI	Yes	http://www.pagepress.org/journals/index.php/dr/article/view/6386/5981	2009	"PDF, HTML"	skin diseases	English	https://www.pagepress.org/journals/index.php/dr/board	Blind peer review	https://www.pagepress.org/journals/index.php/dr/about	https://www.pagepress.org/journals/index.php/dr/about	https://www.pagepress.org/journals/index.php/dr/about/submissions	Yes	https://www.pagepress.org/journals/index.php/dr/about	10	http://www.pagepress.org/open-access.html	Yes	http://www.pagepress.org/journals/index.php/dr/article/view/6386	CC BY-NC	NA	http://www.pagepress.org/journals/index.php/dr/about/submissions#copyrightNotice	Yes	Sherpa/Romeo	TRUE	https://www.pagepress.org/journals/index.php/dr/copy	TRUE	https://www.pagepress.org/journals/index.php/dr/copy	Yes	Yes	2010-01-22T11:30:57Z	Medicine: Dermatology	214	2020-03-19T16:59:41Z	
208	Dermatol Res Pract	1687-6105	1687-6113	32180806	10.1155/2020/6716145	done	Dermatology Research and Practice	https://www.hindawi.com/journals/drp/	NA	Hindawi Limited	NA	Hindawi	United Kingdom	Yes	https://www.hindawi.com/journals/drp/apc/	1025	USD - US Dollar	NA	https://www.hindawi.com/journals/drp/apc/	NA	NA	Yes	https://www.hindawi.com/journals/drp/apc/	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	https://www.hindawi.com/journals/drp/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/drp/2017/8407247/	2009	"PDF, HTML, ePUB, XML"	"dermatology, skin diseases"	English	https://www.hindawi.com/journals/drp/editors/	Blind peer review	https://www.hindawi.com/journals/drp/workflow/	https://www.hindawi.com/journals/drp/aims/	https://www.hindawi.com/journals/drp/guidelines/	Yes	https://www.hindawi.com/journals/drp/ethics/	11	https://www.hindawi.com/journals/drp/	Yes	https://www.hindawi.com/journals/drp/2015/310270/	CC BY	NA	https://www.hindawi.com/journals/drp/guidelines/	Yes	Sherpa/Romeo	TRUE	https://www.hindawi.com/journals/drp/guidelines/	TRUE	https://www.hindawi.com/journals/drp/guidelines/	Yes	Yes	2010-04-12T15:44:58Z	Medicine: Dermatology	296	2020-03-23T15:27:45Z	
209	Diabet Foot Ankle	NA	2000-625X	31839898	10.1080/2000625X.2019.1696012	done	Diabetic Foot & Ankle	https://www.tandfonline.com/toc/zdfa20/current	NA	Taylor & Francis Group	NA	Taylor & Francis Online	United Kingdom	Yes	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	1000	USD - US Dollar	NA	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	NA	NA	Yes	https://authorservices.taylorandfrancis.com/publishing-open-access/	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	https://librarianresources.taylorandfrancis.com/collection/title-by-title/	Yes	DOI	Yes	https://www.tandfonline.com/toc/zdfa20/current?nav=tocList	2010	"PDF, HTML"	"pathophysiology, epidemiology, diabetes mellitus, surgery"	English	https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=zdfa20	Double blind peer review	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=zdfa20	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	Yes	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	19	https://www.tandfonline.com/action/authorSubmission?journalCode=ZDFA&page=instructions	Yes	https://www.tandfonline.com/action/showCopyRight?scroll=top&doi=10.1080%2F2000625X.2016.1270076	CC BY-NC	NA	https://authorservices.taylorandfrancis.com/copyright-and-you/	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2010-08-31T14:10:05Z	Medicine: Surgery | Medicine: Pathology	106	2019-11-29T13:21:34Z	
210	Diabetes Metab Syndr Obes	NA	1178-7007	32184645	10.2147/DMSO.S229362	done	"Diabetes, Metabolic Syndrome and Obesity : Targets and Therapy"	http://www.dovepress.com/diabetes-metabolic-syndrome-and-obesity-targets-and-therapy-journal	NA	Dove Medical Press	NA	Dove Medical Press	United Kingdom	Yes	http://www.dovepress.com/journal_pricing_bands.php?journal_id=32	1958	USD - US Dollar	NA	http://www.dovepress.com/journal_pricing_bands.php?journal_id=32	NA	NA	Yes	http://www.dovepress.com/journal_pricing_bands.php?journal_id=32	"LOCKSS, CLOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://www.dovepress.com/why_publish_with_dove.php?content_id=3365	Yes	DOI	Yes	https://www.dovepress.com/why_publish_with_dove.php?content_id=3044	2008	"PDF, HTML"	"diabetes, obesity, metabolic syndrome"	English	http://www.dovepress.com/journal-editor-diabetes-metabolic-syndrome-and-obesity-targets-and-therapy-eic32	Blind peer review	http://www.dovepress.com/peer_review_guidelines.php?content_id=2093	http://www.dovepress.com/aims-and-scope-diabetes-metabolic-syndrome-and-obesity-targets-and-therapy-d24-j32	http://www.dovepress.com/author_guidelines.php	Yes	http://www.dovepress.com/why_publish_with_dove.php?content_id=3225	16	http://www.dovepress.com/why_publish_with_dove.php?content_id=3045	Yes	http://www.dovepress.com/mechanism-linking-diabetes-mellitus-and-obesity-peer-reviewed-article-DMSO	CC BY-NC	NA	http://www.dovepress.com/why_publish_with_dove.php?content_id=3045	Yes	Sherpa/Romeo	FALSE	http://www.dovepress.com/author_guidelines.php?content_id=695	FALSE	NA	No	Yes	2009-04-23T15:08:50Z	Medicine: Internal medicine: Specialties of internal medicine	915	2020-03-24T23:42:43Z	
211	Diabetol Metab Syndr	NA	1758-5996	32190124	10.1186/s13098-020-00529-z	done	Diabetology & Metabolic Syndrome	http://www.dmsjournal.com/	Diabetology and Metabolic Syndrome	BMC	Brazilian Diabetes Society	BMC	United Kingdom	Yes	http://dmsjournal.biomedcentral.com/about	1420	GBP - Pound Sterling	NA	http://dmsjournal.biomedcentral.com/about	NA	NA	Yes	http://dmsjournal.biomedcentral.com/about	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/article-metrics	2009	"PDF, HTML"	"diabetes, metabolic syndrome"	English	http://dmsjournal.biomedcentral.com/about/editorial-board	Blind peer review	http://dmsjournal.biomedcentral.com/about	http://dmsjournal.biomedcentral.com/about	http://dmsjournal.biomedcentral.com/submission-guidelines	Yes	http://www.biomedcentral.com/getpublished/editorial-policies	16	http://dmsjournal.biomedcentral.com/about	Yes	http://dmsjournal.biomedcentral.com/articles/10.1186/s13098-016-0191-z	CC BY	NA	http://www.biomedcentral.com/getpublished/copyright-and-license	Yes	Sherpa/Romeo	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2010-11-30T10:19:12Z	Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases	512	2020-03-20T17:53:26Z	
212	Dis Model Mech	1754-8403	1754-8411	32188741	10.1242/dmm.043513	done	Disease Models & Mechanisms	http://dmm.biologists.org	DMM	The Company of Biologists	NA	HighWire	United Kingdom	Yes	https://dmm.biologists.org/content/rights-permissions#fee	2500	GBP - Pound Sterling	NA	https://dmm.biologists.org/content/rights-permissions#fee	NA	NA	Yes	https://dmm.biologists.org/content/rights-permissions	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	https://dmm.biologists.org/content/journal-policies#policies	Yes	DOI	Yes	https://dmm.biologists.org/content/11/4/dmm029447.article-info	2011	PDF	"biomedicine, disease models, disease mechanisms, translational medicine"	English	https://dmm.biologists.org/content/edboard	Blind peer review	https://dmm.biologists.org/content/reviewer-guide	https://dmm.biologists.org/content/aims	https://dmm.biologists.org/content/manuscript-prep	Yes	https://dmm.biologists.org/content/journal-policies#originality	21	https://dmm.biologists.org/content/rights-permissions	Yes	https://dmm.biologists.org/content/8/2/131.article-info	CC BY	NA	https://dmm.biologists.org/content/rights-permissions	Yes	Sherpa/Romeo	TRUE	https://dmm.biologists.org/content/rights-permissions	TRUE	https://dmm.biologists.org/content/rights-permissions	Yes	Yes	2011-10-14T11:42:14Z	Medicine: Pathology	1352	2020-03-06T10:32:02Z	
